CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC  45,Low Surface Brightness Galaxy,10.73,3.51669672029,-23.18198129078,7.24
IC 1574,Galaxy,14.35,10.76592,-22.24689,1.068
NGC  578,Galaxy,10.93,22.61895,-22.667211,4.17
ESO 601-25,Galaxy,14.13,332.55183,-18.86522,2.04
ESO 603-6,Galaxy,13.92,340.6967,-21.1661,1.348
NGC 7392,Emission-line galaxy,11.85,342.9531583528,-20.60806400896,1.66
NGC  59,Galaxy towards a Group of Galaxies,12.59,3.854692,-21.444356,1.02
NGC  216,Emission-line galaxy,13.12,10.362021,-21.048028,1.227
NGC 1125,Seyfert 2 Galaxy,13.13,42.9181,-16.6508,1.78
NGC  34,Seyfert 2 Galaxy,13.52,2.77755,-12.107869,1.23
NGC  246,Planetary Nebula,11.76,11.76392514234,-11.87193642391,3.733
NGC  833,Seyfert 2 Galaxy,13.0,32.33687119628,-10.13305660719,1.037
Cetus Dwarf Galaxy,Galaxy,13.2,6.545,-11.0539,5.01
NGC  151,LINER-type Active Galaxy Nucleus,11.59,8.51163106359,-9.70527207588,1.517
NGC  217,Galaxy towards a Cluster of Galaxies,12.1,10.39122169968,-10.02140795418,2.177
LEDA  2582,Galaxy towards a Cluster of Galaxies,14.47,10.8246,-9.2186,1.41
NGC  842,Galaxy towards a Group of Galaxies,12.66,32.46162597131,-7.7624609786,1.02
NGC 1022,Galaxy towards a Group of Galaxies,11.34,39.636263,-6.677389,1.653
NGC 1042,Galaxy in Pair of Galaxies,11.02,40.09988534106,-8.43353784906,1.553
NGC 1052,Galaxy in Pair of Galaxies,10.47,40.26999374954,-8.25576443131,2.11
MCG-01-03-065,Low Surface Brightness Galaxy,12.17,15.391613,-7.588542,5.9
NGC  337,Emission-line galaxy,11.61,14.958708,-7.577961,2.88
IC 127,Galaxy towards a Group of Galaxies,9.2,22.448329,-6.980058,1.33
NGC  584,Galaxy in Pair of Galaxies,10.48,22.83634663325,-6.86799174652,3.72
NGC  788,Seyfert 2 Galaxy,12.76,30.27692870409,-6.81587494669,1.02
MCG-01-06-038,Emission-line galaxy,14.71,31.08483,-4.91579,1.2
MCG-01-06-042,Galaxy towards a Group of Galaxies,13.1,31.3320779952,-6.45082375392,1.167
NGC  894,Galaxy,11.73,35.401958,-5.521394,1.423
NGC  881,Galaxy towards a Group of Galaxies,12.44,34.68859819087,-6.63906752832,1.233
MCG-01-60-021,LINER-type Active Galaxy Nucleus,13.57,355.447021,-3.667194,1.203
UGC 11723,Galaxy,14.09,320.072904,-1.684339,1.197
NGC 7667,HII Galaxy,14.05,351.095162,-0.108378,1.6
NGC  545,Brightest Galaxy in a Cluster (BCG),13.34,21.49671,-1.34039,2.4
NGC  547,Galaxy in Pair of Galaxies,13.34,21.50258707605,-1.34512012563,1.687
NGC  926,LINER-type Active Galaxy Nucleus,13.44,36.52796645938,-0.33192711883,1.163
NGC  955,Galaxy towards a Group of Galaxies,11.97,37.63808776267,-1.10841876192,1.717
M 77,Galaxy in Pair of Galaxies,8.87,40.66962152892,-0.01329435839,6.92
NGC 1142,Seyfert 2 Galaxy,14.41,43.80096312881,-0.18355754152,1.35
UGC  695,Low Surface Brightness Galaxy,14.84,16.94340354755,1.06364239147,1.3
NGC  533,Galaxy towards a Group of Galaxies,14.11,21.38086457677,1.75923240467,1.603
NGC 1055,Galaxy in Pair of Galaxies,10.59,40.438471,0.443181,6.17
NGC  474,Galaxy in Pair of Galaxies,11.51,20.02786271688,3.41551721475,7.94
NGC  467,Galaxy towards a Group of Galaxies,11.85,19.79228544487,3.30073128897,1.117
NGC  470,Galaxy in Pair of Galaxies,11.78,19.93688594293,3.41000754904,1.657
NGC  718,Galaxy towards a Cluster of Galaxies,11.67,28.30535093551,4.19578976786,1.247
NGC  706,Galaxy towards a Group of Galaxies,12.5,27.96048974444,6.29685340485,1.11
NGC  676,Seyfert 2 Galaxy,12.0,27.23882542106,5.90751931589,4.0
NGC  693,Galaxy towards a Cluster of Galaxies,12.44,27.62853112,6.14521,2.34
Mrk 600,Galaxy,14.7,42.76904,4.45386,1.9
NGC 7328,Galaxy,13.1,339.37204543254,10.53156242861,1.177
NGC 7469,Seyfert 1 Galaxy,12.34,345.8151,8.8739,1.38
NGC 7743,Seyfert 2 Galaxy,13.28,356.08816991963,9.93415860824,1.717
UGC 11659,Galaxy towards a Group of Galaxies,12.53,315.01991998086,9.58306247408,1.6
4C 11.71,Quasar,13.01,342.47744165863,11.60856821556,1.3
NGC 7536,Galaxy towards a Group of Galaxies,13.43,348.55497620975,13.42648702354,1.053
NGC 7479,Seyfert 2 Galaxy,10.85,346.23601343477,12.32287705195,2.47
NGC 7563,LINER-type Active Galaxy Nucleus,12.81,348.98301758258,13.19612792694,1.173
UGC  891,Galaxy,14.36,20.32954,12.41172,1.145
NGC  514,HII Galaxy,11.65,21.01623561956,12.91745841849,1.257
NGC  821,Galaxy,11.31,32.08806604085,10.99495345464,1.86
NGC 1029,Galaxy in Pair of Galaxies,13.11,39.90223263518,10.79325352164,1.07
NGC 7094,Planetary Nebula,13.65,324.22070306837,12.78863868726,1.583
PegDIG,Galaxy,12.52,352.1467,14.7431,5.0
UGC  17,Galaxy,14.19,0.929659,15.217976,2.5
PG 0057+155,Hot Subdwarf,12.32,14.98611404156,15.73715007905,4.5
NGC  660,Seyfert 2 Galaxy,11.16,25.759792,13.645681,6.31
UGC  685,Galaxy,14.07,16.84396,16.68419,1.9
UGC 1176,Galaxy in Pair of Galaxies,14.02,25.04329,15.90517,2.285
NGC 7798,HII Galaxy,12.37,359.8562612325609,20.7498209782066,1.027
NGC 7771,Galaxy towards a Group of Galaxies,12.25,357.853667,20.111825,1.93
