CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
MCG-01-03-065,Astrophotography,12.17,15.391613,-7.588542,5.9,Low Surface Brightness Galaxy,2023-07-15 10:58:04,2023-07-15 17:18:04,
IC 1558,Astrophotography,12.22,8.9463,-25.3744,3.02,Galaxy,2023-07-15 10:33:04,2023-07-15 16:39:04,
NGC 5485,Astrophotography,12.22,211.7973311708,55.00169006111,1.563,LINER-type Active Galaxy Nucleus,2023-07-14 23:57:00,2023-07-15 06:27:00,
NGC 4941,Astrophotography,12.23,196.0545984917999,-5.55159800102,3.89,Seyfert 2 Galaxy,2023-07-14 23:04:00,2023-07-15 05:24:00,
NGC 7771,Astrophotography,12.25,357.853667,20.111825,1.93,Galaxy towards a Group of Galaxies,2023-07-15 08:41:00,2023-07-15 16:11:00,
NGC 4698,Astrophotography,12.27,192.09545117941,8.48740765341,3.113,Seyfert 2 Galaxy,2023-07-14 21:38:00,2023-07-15 05:08:00,
NGC  499,Astrophotography,12.3,20.79789781736,33.46018228675,1.35,LINER-type Active Galaxy Nucleus,2023-07-15 10:10:04,2023-07-15 17:40:04,
NGC 4861,Astrophotography,12.32,194.75975,34.859439,3.63,HII Galaxy,2023-07-14 21:49:00,2023-07-15 05:19:00,
PG 0057+155,Astrophotography,12.32,14.98611404156,15.73715007905,4.5,Hot Subdwarf,2023-07-15 09:47:04,2023-07-15 17:17:04,
NGC 7469,Astrophotography,12.34,345.8151,8.8739,1.38,Seyfert 1 Galaxy,2023-07-15 07:53:00,2023-07-15 15:23:00,
NGC 4625,Astrophotography,12.35,190.46963409149,41.27392104605,1.78,Galaxy in Pair of Galaxies,2023-07-14 21:32:00,2023-07-15 05:02:00,
NGC 7798,Astrophotography,12.37,359.8562612325609,20.7498209782066,1.027,HII Galaxy,2023-07-15 08:49:00,2023-07-15 16:19:00,
NGC 5560,Astrophotography,12.37,215.018738,3.992653,1.33,Galaxy in Pair of Galaxies,2023-07-14 23:10:00,2023-07-15 06:40:00,
NGC  959,Astrophotography,12.38,38.09968394059,35.49457091101,1.257,Galaxy towards a Group of Galaxies,2023-07-15 11:19:04,2023-07-15 18:49:04,
NGC 6389,Astrophotography,12.389,263.16561642136,16.40181388277,1.437,Galaxy,2023-07-15 02:22:00,2023-07-15 09:52:00,
NGC 7248,Astrophotography,12.39,334.21933883809,40.50456376323,1.7,Galaxy,2023-07-15 07:07:00,2023-07-15 14:37:00,
NGC  969,Astrophotography,12.41,38.53299542788,32.9472844444,1.217,Galaxy towards a Group of Galaxies,2023-07-15 11:21:04,2023-07-15 18:51:04,
