CandidateID,ObservationID,RMSE_RA,RMSE_Dec,RA,Dec,ApproachColor,AstrometryStatus,ExposureTime,EncoderRA,EncoderDec,SkyBackground,Temperature,Dataset,CaptureStartEpoch,Focus,RAOffset,DecOffset,SystemName,CameraName,ProcessingCode,Submitted
-4178658983615945035,49,0.93,0.81,325.1715,-29.5331,GREEN,0,1.0,325.39679,-29.46263,-1.0,19229.0,JCMH490_2_20230622_034656_20230622_034739,1687430859,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-5189763382017157550,50,5.45,6.4,338.961,-24.6086,GREEN,-1,1.0,343.18511,-25.08857,19.69,14.663,P21G9k7_2_20230622_041457_20230622_041540,1687432541,49854.0,0.02027,0.03575,TMO,PMUSBCam00,0,0
1767545272037739719,51,0.54,0.67,250.2015,16.2731,ORANGE,0,1.0,250.9264,8.75755,-1.0,19229.0,P11GxNv_1_20230622_222251_20230622_222311,1687497791,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3432361130523455187,52,0.69,0.65,265.983,4.3567,ORANGE,0,1.0,258.70982,10.11091,-1.0,19229.0,Sar2689_1_20230622_224646_20230622_224705,1687499226,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3432361130523455187,53,0.69,0.65,265.983,4.3567,ORANGE,0,1.0,259.07656,9.816,-1.0,19229.0,Sar2689_2_20230622_232656_20230622_232717,1687501637,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
8699749693724536533,54,0.75,1.12,255.0,-11.376,GREEN,0,2.0,254.54876,-12.28394,-1.0,19229.0,P11Gvl8_2_20230623_000842_20230623_000900,1687504140,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
1767545272037739719,55,0.54,0.67,250.2015,16.2731,ORANGE,0,1.0,250.80875,9.55976,-1.0,19229.0,P11GxNv_2_20230623_004251_20230623_004310,1687506190,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3507296335524200818,56,18.45,30.64,315.99,-8.8555,GREEN,0,2.0,315.78208,-9.31685,-1.0,19229.0,P21GyQj_1_20230623_014348_20230623_014406,1687509847,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
58786733003587475,57,9.65,1.6,305.247,-6.0821,GREEN,0,3.0,306.49915,-6.23412,-1.0,19229.0,P21GyDW_2_20230623_021248_20230623_021306,1687511586,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-3507296335524200818,58,18.45,30.64,315.99,-8.8555,GREEN,0,2.0,315.77597,-9.27426,-1.0,19229.0,P21GyQj_2_20230623_024648_20230623_024706,1687513626,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-9162494265766252804,59,0.52,0.47,256.9635,-3.698,ORANGE,0,1.0,256.90904,-3.9924,-1.0,19229.0,A10VKeW_1_20230623_220642_20230623_220704,1687583224,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
-4068778488211073458,60,0.0,0.0,252.165,-5.2625,GREEN,0,1.0,252.20764,-5.24456,-1.0,19229.0,P11GB8H_2_20230623_221543_20230623_221602,1687583762,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
7701143179676495882,61,0.99,0.8,262.887,0.9653,GREEN,0,3.0,262.942,0.95979,-1.0,19229.0,P21GxRx_1_20230623_222950_20230623_223024,1687584624,-1.0,19229.0,19229.0,TMO,PMUSBCam00,0,0
