Date,MPC Target,Processed,Submitted,codes,Observability,"approx. transit time (@TMO, LOCAL)",RA,Dec,"RA Vel (""/min)","Dec Vel (""/min)",Vmag,~Error (arcsec),Error Color,Sky Brightness,SNR,Vel_Est,FWHM,Sky Mag,start,end
0910-0911,MHS0750_1,,-1,"-8,",03:00 - 09:10,2023-09-11 5:10:00,20:39:50,54:00:24,-15,7.8,21.1,"(2.58, 1.74)",ORANGE,,,,,,2023-09-10,2023-09-11
0910-0911,MHS0750_2,,-1,"-8,",03:00 - 09:10,2023-09-11 5:10:00,20:39:50,54:00:24,-15,7.8,21.1,"(2.58, 1.74)",ORANGE,,,,,,2023-09-10,2023-09-11
0910-0911,A10WF59_1,,1,"1,",04:50 - 12:20,2023-09-11 8:20:00,23:48:05,8:43:52,-15,-32.4,17.3,"(1.95, 2.36)",ORANGE,,,,,,2023-09-10,2023-09-11
0910-0911,A10WF59_2,,1,"1,",04:50 - 12:20,2023-09-11 8:20:00,23:48:05,8:43:52,-15,-32.4,17.3,"(1.95, 2.36)",ORANGE,,,,,,2023-09-10,2023-09-11
0910-0911,GG0380_1,,-1,"-2,",05:20 - 11:30,2023-09-11 7:40:00,23:07:42,-24:38:25,-1.32,2.46,19.9,"(179.35, 218.73)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,GG0380_2,,-1,"-2,",05:20 - 11:30,2023-09-11 7:40:00,23:07:42,-24:38:25,-1.32,2.46,19.9,"(179.35, 218.73)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,gb00606_1,,1,"1,",05:20 - 12:50,2023-09-10 8:40:00,0:11:14,10:54:09,4.62,-15.6,20.1,"(1.65, 5.47)",RED,,,,,,2023-09-10,2023-09-11
0910-0911,gb00606_2,,1,"1,",05:20 - 12:50,2023-09-10 8:40:00,0:11:14,10:54:09,4.62,-15.6,20.1,"(1.65, 5.47)",RED,,,,,,2023-09-10,2023-09-11
0910-0911,Sc00195_1,,1,"1,",06:10 - 13:40,2023-09-10 9:30:00,1:02:25,7:05:49,0.12,-3.84,21,"(0.51, 0.8)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,Sc00195_2,,1,"1,",06:10 - 13:40,2023-09-10 9:30:00,1:02:25,7:05:49,0.12,-3.84,21,"(0.51, 0.8)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,P11IQwS_1,,1,"1,",06:30 - 14:00,2023-09-10 9:50:00,1:22:45,0:53:03,5.34,2.82,20.9,"(39.57, 19.1)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,P11IQwS_2,,1,"1,",06:30 - 14:00,2023-09-10 9:50:00,1:22:45,0:53:03,5.34,2.82,20.9,"(39.57, 19.1)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,P21IGQs_1,,1,"1,",06:30 - 14:00,2023-09-10 10:00:00,1:28:18,34:50:09,-0.42,1.92,20.9,"(5.81, 29.78)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,P21IGQs_2,,1,"1,",06:30 - 14:00,2023-09-10 10:00:00,1:28:18,34:50:09,-0.42,1.92,20.9,"(5.81, 29.78)",GREEN,,,,,,2023-09-10,2023-09-11
0910-0911,P21J4OR_1,"_1 rec fail,",-1,"-5,-3",08:20 - 15:50,2023-09-10 11:40:00,3:09:32,0:13:36,0.18,-0.78,21.5,"(90.23, 34.21)",ORANGE,,,,,,2023-09-10,2023-09-11
0910-0911,P21J4OR_2,"_1 rec fail,",-1,"-3,",08:20 - 15:50,2023-09-10 11:40:00,3:09:32,0:13:36,0.18,-0.78,21.5,"(90.23, 34.21)",ORANGE,,,,,,2023-09-10,2023-09-11
0908-0909,VWP0098_1,,-1,"-2,",,11:00 PM,21 20 58.2,-07 04 38,1.06,-0.42,20.9,200,green,,,,,,2023-09-08,2023-09-09
0908-0909,VWP0098_2,,-1,"-2,",,11:00 PM,21 20 58.2,-07 04 38,1.06,-0.42,20.9,200,green,,,,,,2023-09-08,2023-09-09
0908-0909,TLS0008_1,_2 recenter fail,1,"2,",,10:50 PM,21 11 03.5,12 39 44,-0.29,-5.24,19.8,200,green,,,,,,2023-09-08,2023-09-09
0908-0909,TLS0008_2,_2 recenter fail,1,"2,-5",,10:50 PM,21 11 03.5,12 39 44,-0.29,-5.24,19.8,200,green,,,,,,2023-09-08,2023-09-09
0908-0909,Sar2703_1,_1 recenter fail,-1,"-5,",,11:10 PM,21 29 59.4,00 40 27,0.97,-11.35,20.8,2,red,,,,,,2023-09-08,2023-09-09
0908-0909,Sar2703_2,_1 recenter fail,1,"2,",,11:10 PM,21 29 59.4,00 40 27,0.97,-11.35,20.8,2,red,,,,,,2023-09-08,2023-09-09
0908-0909,C9G48Y2_1,_1 has clouds,-1,"-11,",,12:10 AM,22 36 11.7,-03 54 40,-0.37,10.3,20.4,5,green,,,,,,2023-09-08,2023-09-09
0908-0909,C9G48Y2_2,_1 has clouds,1,"2,",,12:10 AM,22 36 11.7,-03 54 40,-0.37,10.3,20.4,5,green,,,,,,2023-09-08,2023-09-09
0908-0909,Sar2704_1,,1,"1,",,12:20 AM,22 42 45.5,07 36 09,33.55,-2.25,19.3,20,red,,,,,,2023-09-08,2023-09-09
0908-0909,Sar2704_2,,1,"1,",,12:20 AM,22 42 45.5,07 36 09,33.55,-2.25,19.3,20,red,,,,,,2023-09-08,2023-09-09
0907-0908,C9G3J62_1,_1 recentering fail,-1,"-2,-11,-5",05:10 - 11:30,2023-09-08 7:30:00,22:46:21,-12:44:21,-1.98,6,20.6,"(121.33, 177.71)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,C9G3J62_2,_1 recentering fail,-1,"-2,-11",05:10 - 11:30,2023-09-08 7:30:00,22:46:21,-12:44:21,-1.98,6,20.6,"(121.33, 177.71)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,A10WBFS_1,_1 recentering fail,-1,"-2,",05:40 - 13:00,2023-09-07 9:10:00,0:25:29,1:21:57,-17.4,-1.32,17.5,"(0.28, 0.04)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,A10WBFS_2,_1 recentering fail,-1,"-2,",05:40 - 13:00,2023-09-07 9:10:00,0:25:29,1:21:57,-17.4,-1.32,17.5,"(0.28, 0.04)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,C9G6F22_1,,1,"1,",05:30 - 11:50,2023-09-08 7:40:00,23:01:32,-13:06:41,5.34,-1.02,19.8,"(1.25, 0.79)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,C9G6F22_2,,1,"1,",05:30 - 11:50,2023-09-08 7:40:00,23:01:32,-13:06:41,5.34,-1.02,19.8,"(1.25, 0.79)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGgN_1,,1,"1,",06:00 - 13:30,2023-09-07 9:20:00,0:41:21,14:23:09,8.4,3.78,19.8,"(0.5, 0.39)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGgN_2,,1,"1,",06:00 - 13:30,2023-09-07 9:20:00,0:41:21,14:23:09,8.4,3.78,19.8,"(0.5, 0.39)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,C9G7FZ2_1,,-1,"-3,",06:20 - 12:30,2023-09-08 8:30:00,23:49:11,-10:57:18,-5.82,8.4,21,"(100.23, 149.21)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,C9G7FZ2_2,,-1,"-3,",06:20 - 12:30,2023-09-08 8:30:00,23:49:11,-10:57:18,-5.82,8.4,21,"(100.23, 149.21)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGQs_1,,1,"1,",06:50 - 14:20,2023-09-07 10:10:00,1:29:57,32:34:02,,,20.8,"(0.69, 0.87)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGQs_2,,1,"1,",06:50 - 14:20,2023-09-07 10:10:00,1:29:57,32:34:02,,,20.8,"(0.69, 0.87)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGp1_1,,-1,"-3,",07:10 - 13:30,2023-09-07 9:30:00,0:43:51,-21:05:07,-1.98,3.06,20.9,"(169.89, 98.95)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGp1_2,,-1,"-3,",07:10 - 13:30,2023-09-07 9:30:00,0:43:51,-21:05:07,-1.98,3.06,20.9,"(169.89, 98.95)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,P11IGzN_1,,1,"1,",07:00 - 14:30,2023-09-07 10:30:00,1:42:58,8:27:27,0.24,0,21.1,"(0.26, 0.22)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P11IGzN_2,,1,"1,",07:00 - 14:30,2023-09-07 10:30:00,1:42:58,8:27:27,0.24,0,21.1,"(0.26, 0.22)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,A10WDqq_1,,1,"1,",07:50 - 15:10,2023-09-07 11:30:00,2:42:57,24:44:13,-25.2,34.8,17.7,"(0.46, 0.2)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,A10WDqq_2,,1,"1,",07:50 - 15:10,2023-09-07 11:30:00,2:42:57,24:44:13,-25.2,34.8,17.7,"(0.46, 0.2)",ORANGE,,,,,,2023-09-07,2023-09-08
0907-0908,C9FFRV2_1,,1,"1,",07:50 - 14:10,2023-09-07 10:10:00,1:24:48,-4:53:28,2.82,-12,20.9,"(1.23, 4.91)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,C9FFRV2_2,,1,"1,",07:50 - 14:10,2023-09-07 10:10:00,1:24:48,-4:53:28,2.82,-12,20.9,"(1.23, 4.91)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGp2_1,_2 recentering fail,-1,"-2,-11",06:40 - 13:00,2023-09-07 8:50:00,0:07:51,-18:52:15,0.54,-0.42,20.7,"(32.8, 25.04)",GREEN,,,,,,2023-09-07,2023-09-08
0907-0908,P21IGp2_2,_2 recentering fail,-1,"-2,-11,-5",06:40 - 13:00,2023-09-07 8:50:00,0:07:51,-18:52:15,0.54,-0.42,20.7,"(32.8, 25.04)",GREEN,,,,,,2023-09-07,2023-09-08
0906-0907,C9EVXJ2_1,_1 recentering fail,-1,"-2,",05:30 - 13:10,2023-09-06 9:00:00,0:12:00,2:05:05,15,7.8,21.3,"(220.95, 108.15)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9EVXJ2_2,_1 recentering fail,-1,"-2,",05:30 - 13:10,2023-09-06 9:00:00,0:12:00,2:05:05,15,7.8,21.3,"(220.95, 108.15)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9F8P12_1,,1,"1,",05:00 - 12:30,2023-09-07 8:30:00,23:39:37,5:00:43,5.1,5.04,20.3,"(10.26, 7.98)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9F8P12_2,,1,"1,",05:00 - 12:30,2023-09-07 8:30:00,23:39:37,5:00:43,5.1,5.04,20.3,"(10.26, 7.98)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9F5U12_1,,1,"2,",06:30 - 12:50,2023-09-07 8:40:00,23:58:26,-5:06:44,0,-7.8,20.4,"(71.73, 199.02)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9F5U12_2,,-1,"-9,",06:30 - 12:50,2023-09-07 8:40:00,23:58:26,-5:06:44,0,-7.8,20.4,"(71.73, 199.02)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,P21IEK4_1,_1 recentering fail,1,"2,-5",06:50 - 13:10,2023-09-06 9:00:00,0:17:11,-14:07:50,0.24,-1.32,20.5,"(37.79, 42.97)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,P21IEK4_2,_1 recentering fail,1,"2,",06:50 - 13:10,2023-09-06 9:00:00,0:17:11,-14:07:50,0.24,-1.32,20.5,"(37.79, 42.97)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9F9UE2_1,,-1,"-2,",06:30 - 12:50,2023-09-06 8:50:00,0:03:33,-3:00:22,-10.2,5.52,21,"(241.82, 143.98)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9F9UE2_2,,-1,"-2,",06:30 - 12:50,2023-09-06 8:50:00,0:03:33,-3:00:22,-10.2,5.52,21,"(241.82, 143.98)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9F4VP2_1,_1 recentering fail,-1,"-2,-5",07:20 - 13:40,2023-09-06 9:40:00,0:49:27,-1:40:40,6.6,-1.92,20.8,"(166.27, 46.95)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9F4VP2_2,_1 recentering fail,-1,"-3,",07:20 - 13:40,2023-09-06 9:40:00,0:49:27,-1:40:40,6.6,-1.92,20.8,"(166.27, 46.95)",ORANGE,,,,,,2023-09-06,2023-09-07
0906-0907,C9FFRV2_1,_1 tracking fail in frame 146,-1,"-11,",07:50 - 14:10,2023-09-06 10:10:00,1:20:14,-0:26:37,2.76,-12,20.9,"(87.7, 306.15)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9FFRV2_2,_1 tracking fail in frame 146,-1,"-5,",07:50 - 14:10,2023-09-06 10:10:00,1:20:14,-0:26:37,2.76,-12,20.9,"(87.7, 306.15)",GREEN,,,,,,2023-09-06,2023-09-07
0906-0907,C9EYKK2_1,,-1,"-3,",04:40 - 12:30,2023-09-07 8:10:00,23:23:41,4:46:24,24,8.4,21.2,"(32.8, 17.45)",BLACK,,,,,,2023-09-06,2023-09-07
0906-0907,C9EYKK2_2,,-1,"-3,",04:40 - 12:30,2023-09-07 8:10:00,23:23:41,4:46:24,24,8.4,21.2,"(32.8, 17.45)",BLACK,,,,,,2023-09-06,2023-09-07
0905-0906,P11IxIv_1,,1,"1,",04:50 - 12:20,2023-09-06 8:10:00,23:23:45,23:26:21,1.74,-1.26,20.8,"(0.71, 0.55)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11IxIv_2,,1,"1,",04:50 - 12:20,2023-09-06 8:10:00,23:23:45,23:26:21,1.74,-1.26,20.8,"(0.71, 0.55)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11IxIu_1,_1 astrom fail,1,"2,-5,",04:50 - 11:10,2023-09-06 7:00:00,22:12:56,-8:47:34,-2.4,-1.5,21,"(1.1, 0.49)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11IxIu_2,_1 astrom fail,-1,"-9,",04:50 - 11:10,2023-09-06 7:00:00,22:12:56,-8:47:34,-2.4,-1.5,21,"(1.1, 0.49)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,A10WBr7_1,,-1,"-2,",05:40 - 13:00,2023-09-05 9:00:00,0:09:39,7:08:35,-0.18,-0.12,17.9,"(0.42, 0.19)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,A10WBr7_2,,-1,"-2,",05:40 - 13:00,2023-09-05 9:00:00,0:09:39,7:08:35,-0.18,-0.12,17.9,"(0.42, 0.19)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P21IxAv_1,,-1,"-8,",05:40 - 12:00,2023-09-06 7:50:00,23:01:07,-17:41:36,-0.12,-0.48,19.6,"(0.73, 2.09)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P21IxAv_2,,-1,"-8,",05:40 - 12:00,2023-09-06 7:50:00,23:01:07,-17:41:36,-0.12,-0.48,19.6,"(0.73, 2.09)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,CAP0266_1,_1 astrom fail,-1,"-9,-5",04:10 - 11:50,2023-09-06 7:40:00,22:48:24,21:37:22,5.1,-14.4,19.7,"(3.61, 10.81)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,CAP0266_2,_1 astrom fail,1,"2,",04:10 - 11:50,2023-09-06 7:40:00,22:48:24,21:37:22,5.1,-14.4,19.7,"(3.61, 10.81)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P21IBhB_1,,-1,"-3,",03:30 - 10:00,2023-09-06 5:50:00,20:59:11,-0:19:27,2.34,-1.98,21.4,"(172.62, 108.76)",ORANGE,,,,,,2023-09-05,2023-09-06
0905-0906,P21IBhB_2,,-1,"-3,",03:30 - 10:00,2023-09-06 5:50:00,20:59:11,-0:19:27,2.34,-1.98,21.4,"(172.62, 108.76)",ORANGE,,,,,,2023-09-05,2023-09-06
0905-0906,P21I1Bp_1,,-1,"-2,",06:50 - 12:20,2023-09-05 9:10:00,0:17:10,-32:21:13,0.36,0.42,21,"(24.94, 15.27)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P21I1Bp_2,,-1,"-2,",06:50 - 12:20,2023-09-05 9:10:00,0:17:10,-32:21:13,0.36,0.42,21,"(24.94, 15.27)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11HWE8_1,,-1,"-8,",06:30 - 12:10,2023-09-06 8:50:00,23:56:20,-30:01:44,0.36,-0.9,20.6,"(30.92, 30.52)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11HWE8_2,,-1,"-8,",06:30 - 12:10,2023-09-06 8:50:00,23:56:20,-30:01:44,0.36,-0.9,20.6,"(30.92, 30.52)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11Iq2s_1,_1 astrom fail,-1,"-3,-5",09:50 - 16:10,2023-09-05 12:00:00,3:13:29,-8:48:26,0.48,-0.24,20.5,"(1.01, 1.03)",GREEN,,,,,,2023-09-05,2023-09-06
0905-0906,P11Iq2s_2,_1 astrom fail,-1,"-3,",09:50 - 16:10,2023-09-05 12:00:00,3:13:29,-8:48:26,0.48,-0.24,20.5,"(1.01, 1.03)",GREEN,,,,,,2023-09-05,2023-09-06
0829-0830,ST23H33_1,failed astrom on both,-1,"-2,",,9:00 PM,18 41 46.2,51 39 01,3.79,-16.04,18.7,350,green,,,,,,2023-08-29,2023-08-30
0829-0830,ST23H33_2,failed astrom on both,-1,"-2,",,9:00 PM,18 41 46.2,51 39 01,3.79,-16.04,18.7,350,green,,,,,,2023-08-29,2023-08-30
0826-0827,P11Ip5u_1,,1,"1,",06:20 - 12:40,2023-08-27 8:40:00,23:08:00,-17:25:35,-0.48,-2.94,20.2,"(1.2, 3.7)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,P11Ip5u_2,,1,"1,",06:20 - 12:40,2023-08-27 8:40:00,23:08:00,-17:25:35,-0.48,-2.94,20.2,"(1.2, 3.7)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,Mechau_1,_1 astrom fail,-1,"-2,",06:40 - 13:00,2023-08-27 9:00:00,23:29:02,-9:08:03,-0.18,0.36,20.9,"(176.6, 318.77)",ORANGE,,,,,,2023-08-26,2023-08-27
0826-0827,Mechau_2,_1 astrom fail,-1,"-2,",06:40 - 13:00,2023-08-27 9:00:00,23:29:02,-9:08:03,-0.18,0.36,20.9,"(176.6, 318.77)",ORANGE,,,,,,2023-08-26,2023-08-27
0826-0827,P11Ip0N_1,,1,"1,",06:40 - 13:00,2023-08-27 8:50:00,23:21:02,-10:11:10,-0.3,0.3,20.9,"(6.88, 5.86)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,P11Ip0N_2,,1,"1,",06:40 - 13:00,2023-08-27 8:50:00,23:21:02,-10:11:10,-0.3,0.3,20.9,"(6.88, 5.86)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,Mehlis_1,_2 astrom fail,-1,"-8,",06:40 - 13:00,2023-08-27 9:00:00,23:27:39,-10:06:24,-0.3,-0.3,20,"(16.62, 17.18)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,Mehlis_2,_2 astrom fail,-1,"-8,-5",06:40 - 13:00,2023-08-27 9:00:00,23:27:39,-10:06:24,-0.3,-0.3,20,"(16.62, 17.18)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,ST23H25_1,,1,"1,",06:10 - 13:50,2023-08-26 9:40:00,0:06:40,20:00:24,23.4,-52.8,18.2,"(1.95, 3.31)",ORANGE,,,,,,2023-08-26,2023-08-27
0826-0827,ST23H25_2,,1,"1,",06:10 - 13:50,2023-08-26 9:40:00,0:06:40,20:00:24,23.4,-52.8,18.2,"(1.95, 3.31)",ORANGE,,,,,,2023-08-26,2023-08-27
0826-0827,P21I3KM_1,,-1,"-9,",09:00 - 15:00,2023-08-26 11:20:00,1:49:12,-26:56:57,1.44,-1.32,20.8,"(1.04, 1.1)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,P21I3KM_2,,1,"2,",09:00 - 15:00,2023-08-26 11:20:00,1:49:12,-26:56:57,1.44,-1.32,20.8,"(1.04, 1.1)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,P21Il8D_1,,1,"1,",10:00 - 16:20,2023-08-26 12:20:00,2:45:24,-12:56:28,1.26,0,20.9,"(31.03, 2.85)",GREEN,,,,,,2023-08-26,2023-08-27
0826-0827,P21Il8D_2,,1,"1,",10:00 - 16:20,2023-08-26 12:20:00,2:45:24,-12:56:28,1.26,0,20.9,"(31.03, 2.85)",GREEN,,,,,,2023-08-26,2023-08-27
0825-0826,Mechau_1,unknown,-1,"-9,",06:50 - 13:10,2023-08-26 9:00:00,23:29:18,-9:17:43,-0.12,0.36,21,"(151.33, 166.47)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,Mechau_2,unknown,-1,"-9,",06:50 - 13:10,2023-08-26 9:00:00,23:29:18,-9:17:43,-0.12,0.36,21,"(151.33, 166.47)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P11Ip0N_1,,1,"1,",06:40 - 13:00,2023-08-26 9:00:00,23:21:32,-10:18:56,-0.3,0.3,21,"(19.46, 4.1)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P11Ip0N_2,,1,"1,",06:40 - 13:00,2023-08-26 9:00:00,23:21:32,-10:18:56,-0.3,0.3,21,"(19.46, 4.1)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,Mehlis_1,_2 astrom fail,-1,"-8,",06:50 - 13:10,2023-08-26 9:00:00,23:28:12,-9:57:30,-0.3,-0.3,19.7,"(123.61, 154.27)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,Mehlis_2,_2 astrom fail,-1,"-8,-5",06:50 - 13:10,2023-08-26 9:00:00,23:28:12,-9:57:30,-0.3,-0.3,19.7,"(123.61, 154.27)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P21HV6t_1,,-1,"-8,",06:20 - 12:00,2023-08-26 8:30:00,23:00:48,-30:50:12,-0.06,1.8,21.5,"(1.6, 1.99)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P21HV6t_2,,-1,"-8,",06:20 - 12:00,2023-08-26 8:30:00,23:00:48,-30:50:12,-0.06,1.8,21.5,"(1.6, 1.99)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P21l3KM_1,Only _1?,1,"2,",9:10-15:00,2023-08-26 11:20:00,01 47 29.4,-26 34 06,1.38,-1.26,20.8,"(1.12, 1.46)",GREEN,,,,,,2023-08-25,2023-08-26
0825-0826,P21l3KM_2,Only _1?,-1,"-9,",9:10-15:00,2023-08-26 11:20:00,01 47 29.4,-26 34 06,1.38,-1.26,20.8,"(1.12, 1.46)",GREEN,,,,,,2023-08-25,2023-08-26
0824-0825,gb00593_1,unknown,-1,"-9,",04:20 - 11:50,2023-08-25 7:50:00,22:09:38,2:46:26,1899-12-25 14:52:48,1900-01-06 19:12:00,12:00:00,"(1.01, 1.38)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,gb00593_2,unknown,-1,"-9,",04:20 - 11:50,2023-08-25 7:50:00,22:09:38,2:46:26,1899-12-25 14:52:48,1900-01-06 19:12:00,12:00:00,"(1.01, 1.38)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21IhFT_1,,1,"1,",03:00 - 08:00,2023-08-25 3:50:00,18:13:44,51:17:21,1899-12-29 9:36:00,1899-12-29 3:50:24,0:00:00,"(0.45, 0.53)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21IhFT_2,,1,"1,",03:00 - 08:00,2023-08-25 3:50:00,18:13:44,51:17:21,1899-12-29 9:36:00,1899-12-29 3:50:24,0:00:00,"(0.45, 0.53)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21IhXN_1,,1,"1,",04:10 - 11:40,2023-08-25 7:30:00,21:53:31,26:45:18,1899-12-27 14:24:00,1899-12-31 22:04:48,0:00:00,"(6.21, 6.35)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21IhXN_2,,1,"1,",04:10 - 11:40,2023-08-25 7:30:00,21:53:31,26:45:18,1899-12-27 14:24:00,1899-12-31 22:04:48,0:00:00,"(6.21, 6.35)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21HOkw_1,,1,"1,",07:50 - 14:10,2023-08-24 10:10:00,0:28:34,-9:05:00,1899-12-31 0:28:48,1899-12-30 4:19:12,4:48:00,"(1.01, 0.44)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21HOkw_2,,1,"1,",07:50 - 14:10,2023-08-24 10:10:00,0:28:34,-9:05:00,1899-12-31 0:28:48,1899-12-30 4:19:12,4:48:00,"(1.01, 0.44)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P11IgmH_1,,1,"1,",07:50 - 14:10,2023-08-24 10:10:00,0:28:16,-6:41:40,1899-12-28 19:12:00,1899-12-31 12:00:00,12:00:00,"(1.45, 1.56)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P11IgmH_2,,1,"1,",07:50 - 14:10,2023-08-24 10:10:00,0:28:16,-6:41:40,1899-12-28 19:12:00,1899-12-31 12:00:00,12:00:00,"(1.45, 1.56)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21Il8D_1,unknown,-1,"-9,",10:00 - 16:30,2023-08-24 12:20:00,2:41:16,-12:57:15,1899-12-31 6:14:24,1899-12-30 0:00:00,0:00:00,"(2.86, 0.82)",GREEN,,,,,,2023-08-24,2023-08-25
0824-0825,P21Il8D_2,unknown,-1,"-9,",10:00 - 16:30,2023-08-24 12:20:00,2:41:16,-12:57:15,1899-12-31 6:14:24,1899-12-30 0:00:00,0:00:00,"(2.86, 0.82)",GREEN,,,,,,2023-08-24,2023-08-25
0823-0824,P11I1gn_1,,1,"2,",Y,0:30,21 51 33.7,-32 11 53,-3.92,-3.68,20.6,60,green,,,,,,2023-08-23,2023-08-24
0823-0824,P11I1gn_2,,-1,"-9,",Y,0:30,21 51 33.7,-32 11 53,-3.92,-3.68,20.6,60,green,,,,,,2023-08-23,2023-08-24
0823-0824,Mechau_1,,-1,"-2,",Y,2:10,23 29 41.0,-09 32 53,-0.16,0.35,21,200,green,,,,,,2023-08-23,2023-08-24
0823-0824,Mechau_2,,-1,"-2,",Y,2:10,23 29 41.0,-09 32 53,-0.16,0.35,21,200,green,,,,,,2023-08-23,2023-08-24
0823-0824,P21IhXR_1,,1,"1,",Y,0:10,21 31 44.4,17 58 26,-0.35,-0.059,21.3,2,purple,,,,,,2023-08-23,2023-08-24
0823-0824,P21IhXR_2,,1,"1,",Y,0:10,21 31 44.4,17 58 26,-0.35,-0.059,21.3,2,purple,,,,,,2023-08-23,2023-08-24
0823-0824,P21I62E_1,,0,"0,",Y,21:00,18 01 33.8,00 15 58,5.45,-3.74,21.3,5,green,,,,,,2023-08-23,2023-08-24
0823-0824,P21I62E_2,,1,2,Y,21:00,18 01 33.8,00 15 58,5.45,-3.74,21.3,5,green,,,,,,2023-08-23,2023-08-24
0823-0824,P11IhFS_1,,1,2,Y,4:00,01 16 48.9,-00 42 03,0.93,-0.31,21.4,10,green,,,,,,2023-08-23,2023-08-24
