CandidateName,CandidateType,Author,DateAdded,DateLastEdited,Priority,Updated,StartObservability,EndObservability,TransitTime,RejectedReason,RemovedReason,RemovedDt,RA,Dec,dRA,dDec,Magnitude,RMSE_RA,RMSE_Dec,ApproachColor,ExposureTime,NumExposures,Scheduled,Observed,Processed,Submitted,ID,Filter,Guide
gb00624,MPC NEO,MPCLogger,2023-09-22 07:25:36,2023-09-23 18:59:11,2,2023-09-22 13:55:12,2023-09-23 04:10:00,2023-09-23 11:40:00,2023-09-23 07:40:00,dRA,MPCLogger: Target removed from MPC list,2023-09-23 18:59:11,23.951,31.5759,-3.78,-3.6,20.7,3.52,3.08,GREEN,600.0,2.0,0,0,0,0,-6341082809456241540,CLEAR,1
P21K9n2,MPC NEO,MPCLogger,2023-09-20 21:47:14,2023-09-22 07:25:35,2,2023-09-21 02:09:36,2023-09-21 06:40:00,2023-09-21 14:10:00,2023-09-20 10:00:00,dRA,MPCLogger: Target removed from MPC list,2023-09-22 07:25:35,2.1677,3.0379,2.28,0.48,21.2,0.81,0.73,GREEN,600.0,3.0,0,0,0,0,-6340552213066942739,CLEAR,1
P21G4Bg,MPC NEO,MPCLogger,2023-06-17 01:27:39,2023-07-18 22:44:19,2,2023-06-16 23:45:36,2023-06-17 06:30:00,2023-06-17 12:50:00,,,MPCLogger: Target removed from MPC list,2023-07-18 22:44:19,20.3103,-4.9343,1.14,0.72,20.8,0.5099019513592785,0.406201920231798,GREEN,,,0,0,0,0,-6340085203728655184,CLEAR,1
C9CWMP2,MPC NEO,MPCLogger,2023-06-21 02:34:55,2023-06-23 02:19:08,2,2023-06-22 16:33:36,,,2023-06-22 16:30:00,vMag,One-time duplicate removal,,2.6622,21.1208,7.8,2.7,23.5,11.18,4.31,GREEN,-1.0,-1.0,0,0,0,0,-6339602269959026513,CLEAR,1
X82099,MPC NEO,MPCLogger,2023-06-14 23:26:07,2023-07-18 22:41:03,2,2023-06-14 16:19:12,2023-06-15 09:00:00,2023-06-15 09:30:00,,RMSE,MPCLogger: Target removed from MPC list,2023-07-18 22:41:03,16.7342,-6.2601,-0.72,-0.48,19.2,245658.26652833913,20743.98198715714,BLACK,,,0,0,0,0,-6332800392465595951,CLEAR,1
P21HrSg,MPC NEO,MPCLogger,2023-07-29 00:59:05,2023-08-29 18:23:30,2,2023-08-06 16:48:00,2023-08-10 04:40:00,2023-08-10 10:50:00,2023-08-08 08:20:00,RMSE,MPCLogger: Target removed from MPC list,2023-08-29 18:23:30,21.4968,2.2744,0.06,-0.48,20.8,132.75,875.51,GREEN,600.0,2.0,0,0,0,0,-6327043039336346511,CLEAR,1
ST23G15,MPC NEO,MPCLogger,2023-07-14 23:49:02,2023-07-19 20:59:35,2,2023-07-18 16:04:48,2023-07-19 05:50:00,2023-07-19 12:10:00,2023-07-19 08:00:00,vMag,MPCLogger: Target removed from MPC list,2023-07-19 20:59:35,20.0071,-19.0737,0.66,-2.22,22.1,186709.46,94453.24,RED,-1.0,-1.0,0,0,0,0,-6321481702129250130,CLEAR,1
P11NnxT,MPC NEO,MPCLogger,2023-11-08 02:46:48,2023-12-17 21:40:45,2,2023-11-07 16:19:12,2023-11-08 06:20:00,2023-11-08 12:40:00,2023-11-07 08:30:00,,MPCLogger: Target removed from MPC list,2023-12-17 21:40:45,3.8723,-7.3202,-0.6,-1.26,21.3,21.73,23.25,GREEN,600.0,3.0,0,0,0,0,-6307340465295168955,CLEAR,1
P11G9jS,MPC NEO,MPCLogger,2023-06-21 02:34:55,2023-07-18 22:45:32,2,2023-06-20 16:33:36,,,2023-06-21 11:00:00,Observability,MPCLogger: Target removed from MPC list,2023-07-18 22:45:32,21.1446,-38.3743,-0.96,0.3,20.4,224.47,50.03,GREEN,600.0,1.0,0,0,0,0,-6305520968588247419,CLEAR,1
P11Nnhf,MPC NEO,MPCLogger,2023-11-08 02:46:48,2023-12-17 21:40:45,2,2023-11-08 02:52:48,2023-11-08 03:00:00,2023-11-08 08:10:00,2023-11-08 04:10:00,vMag,MPCLogger: Target removed from MPC list,2023-12-17 21:40:45,23.4222,-4.0859,-0.42,0.18,22.0,0.16,0.07,GREEN,-1.0,-1.0,0,0,0,0,-6303165276426294401,CLEAR,1
