CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,Filter,Processed,Submitted,dRA,dDec,TransitTime
NGC 4536,Astrophotography,10.550000190734863,188.6128,2.1883,7.41,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M104,Astrophotography,8.0,189.99763274592,-11.62305449444,8.51,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M68,Astrophotography,7.960000038146973,189.86658,-26.74406,12.0,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 03:40:00
M94,Astrophotography,8.239999771118164,192.72114082143,41.12025024573,11.48,Seyfert Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:50:00
NGC 4725,Astrophotography,12.4399995803833,192.61071515333,25.50075919183,9.77,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 03:50:00
NGC 4753,Astrophotography,9.949999809265137,193.092133,-1.199689,6.03,Galaxy towards a Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 04:00:00
M64,Astrophotography,8.520000457763672,194.182067,21.682658,9.77,Seyfert Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:00:00
NGC 4939,Astrophotography,13.800000190734863,196.05970021872,-10.33952790409,5.01,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:10:00
M63,Astrophotography,8.59000015258789,198.9553091224699,42.02936891003,13.18,LINER-type Active Galaxy Nucleus,"g, r, i",0,0,0,0,2024-06-03 04:20:00
NGC 5005,Astrophotography,13.670000076293945,197.734633,37.058942,5.5,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 04:10:00
NGC 5033,Astrophotography,12.029999732971191,198.364729,36.59365,9.55,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:20:00
M53,Astrophotography,7.789999961853027,198.23021,18.16817,12.6,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 04:20:00
NGC 5170,Astrophotography,10.789999961853027,202.45319366858,-17.96649188798,8.13,Galaxy in Pair of Galaxies,"g, r, i",0,0,0,0,2024-06-03 04:30:00
NGC 5068,Astrophotography,10.010000228881836,199.728363,-21.0391,7.24,Active Galaxy Nucleus Candidate,"g, r, i",0,0,0,0,2024-06-03 04:20:00
NGC 5084,Astrophotography,12.210000038146973,200.070513,-21.827578,12.02,Seyfert 2 Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:20:00
NGC 5101,Astrophotography,10.470000267028809,200.442675,-27.430519,5.62,Seyfert 1 Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:30:00
PN A66 36,Astrophotography,11.569999694824219,205.17227309607,-19.88203467884,6.117,Planetary Nebula,"g, r, i",0,0,0,0,2024-06-03 04:40:00
M83,Astrophotography,7.519999980926514,204.25383,-29.86576111,13.8,Starburst Galaxy,"g, r, i",0,0,0,0,2024-06-03 04:40:00
M3,Astrophotography,6.389999866485596,205.54842,28.37728,16.2,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 04:50:00
HCG 68,Astrophotography,12.399999618530273,208.4204,40.3186,9.2,Compact Group of Galaxies,"g, r, i",0,0,0,0,2024-06-03 05:00:00
M19,Astrophotography,5.570000171661377,255.65704,-26.26794,9.6,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:10:00
NGC 6355,Astrophotography,11.050000190734863,260.99437,-26.35342,5.4,Globular Cluster,"g, r, i",0,0,0,0,2024-06-03 08:30:00
